CUSCOD,CUSTYP,CUSNMF,CUSNML,CUSDOB,ADDRS1,ADDRS2,ADDRS3,ADDRS4,CITYNM,TELENO,MOBLNO,TELXNO,FAXNO,MAILID,SPONAM,GENDER,CUSSTS,NATLID,TIMSTAMP,OPRBRA
00050000,STF,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Alaska,Lake Crystalbury,430-639-1171,001-543-532-1819x6001,430-639-1171,,mohi.uddin@example.com,,C,SUSP,9065939,2018-11-10 14:56:36.405213,045
00050001,REG,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Georgia,Lake Crystalbury,001-430-639-1171x186,651.216.1559,001-430-639-1171x186,+1-763-679-4026,mohi.uddin@example.com,Alyssa Gonzalez,M,INACT,1738063,2019-01-26 00:19:35.670337,039
00050002,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Iowa,Lake Crystalbury,+1-430-639-1171x3463,664-375-2553,+1-430-639-1171x3463,+1-649-359-3103,mohi.uddin@example.com,Kimberly Dudley,C,ACT,3921744,2013-08-22 20:32:11.169769,015
00050003,REG,MD MOHI UDDIN,,,489 Eric Track,Apt. 880,Lake Crystalbury,Iowa,Lake Crystalbury,430-639-1171,9568413953,430-639-1171,(783)227-6483,mohi.uddin@example.com,,C,INACT,8775153,2018-04-03 07:37:49.704953,027
00050004,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,West Virginia,Lake Crystalbury,430-639-1171,+1-484-996-9653,430-639-1171,,,Maria Thomas,M,SUSP,2472278,2008-11-11 17:01:25.617241,019
00050005,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Utah,Garciastad,564-217-0805,(791)366-9784x80184,564-217-0805,,kazi.masihur@example.com,Anthony Rodriguez,M,SUSP,2442545,2018-08-15 02:32:04.845388,009
00050006,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,New York,Garciastad,+1-564-217-0805x7335,3159430391,+1-564-217-0805x7335,001-248-728-1489x3252,kazi.masihur@example.com,Christopher Smith,C,SUSP,2107681,2020-07-06 11:25:13.929053,035
00050007,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Texas,Garciastad,564-217-0805,+1-557-587-1331x5098,564-217-0805,001-682-827-8248x96383,kazi.masihur@example.com,,F,SUSP,7046413,2022-05-23 14:59:10.560777,036
00050008,COR,KAZI MASIHUR,RAHMAN,,901 Taylor Mountain,Apt. 865,Garciastad,Virginia,Garciastad,+1-564-217-0805x2958,+1-403-910-5183x4738,+1-564-217-0805x2958,,kazi.masihur@gmail.com,,F,INACT,4063950,2006-03-20 06:22:11.149422,046
00050009,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 283,Garciastad,New Mexico,Garciastad,+1-564-217-0805x4607,(331)516-5667x01065,+1-564-217-0805x4607,,kazi.masihur@gmail.com,,F,SUSP,2362346,2010-12-06 18:48:59.540198,025
00050010,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,New Mexico,Teresaburgh,653-876-7242,660.826.0647,653-876-7242,831.978.1080x132,sk.mahbub@example.com,Joshua Taylor,F,ACT,6664300,2009-09-28 01:56:53.089926,039
00050011,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,North Carolina,Teresaburgh,653-876-7242,220.381.2191x36193,653-876-7242,001-287-923-4309x8050,sk.mahbub@example.com,,F,SUSP,9057636,2020-01-02 04:47:06.579068,013
00050012,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Texas,Teresaburgh,+1-653-876-7242x4843,+1-647-451-0799x1183,+1-653-876-7242x4843,001-898-454-3534,,,F,INACT,5996375,2014-06-16 02:12:22.557529,031
00050013,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 861,Teresaburgh,California,Teresaburgh,001-653-876-7242x969,254.627.8498,001-653-876-7242x969,,sk.mahbub@gmail.com,,F,INACT,3033805,2024-09-26 00:15:39.217434,045
00050014,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Connecticut,Teresaburgh,653-876-7242,(541)718-2449,653-876-7242,,,,M,ACT,9254768,2024-09-15 00:42:10.057798,011
00050015,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,South Dakota,Franciscostad,283-486-3794,687-440-1640x052,283-486-3794,,golam.zubayed@example.com,,M,SUSP,3549484,2010-02-21 23:24:35.708539,003
00050016,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Nevada,Franciscostad,+1-283-486-3794x9936,(704)850-5331,+1-283-486-3794x9936,+1-768-401-1280,golam.zubayed@example.com,,M,ACT,7761382,2020-11-23 06:45:04.795517,015
00050017,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Arizona,Franciscostad,+1-283-486-3794x1455,333.675.4330x3654,+1-283-486-3794x1455,001-323-822-6025x6342,golam.zubayed@gmail.com,,M,ACT,5414262,2025-07-19 10:08:19.607819,045
00050018,REG,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 727,Franciscostad,Nevada,Franciscostad,+1-283-486-3794x2514,+1-581-769-3406x088,+1-283-486-3794x2514,768.750.1429x40196,golam.zubayed@gmail.com,,C,SUSP,2859842,2013-02-03 18:57:36.857727,002
00050019,REG,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Texas,Franciscostad,283-486-3794,895-814-8465x64823,283-486-3794,,golam.zubayed@example.com,,F,ACT,7715916,2014-09-12 06:41:46.549044,008
00050020,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Idaho,Lake Crystalbury,430-639-1171,+1-794-968-0443x699,430-639-1171,,mohi.uddin@example.com,,M,INACT,3961106,2019-08-14 09:50:14.740682,033
00050021,STF,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Utah,Lake Crystalbury,430-639-1171,387.521.4895,430-639-1171,,mohi.uddin@example.com,,M,SUSP,4890705,2014-11-27 21:30:37.036937,001
00050022,REG,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Iowa,Lake Crystalbury,001-430-639-1171x979,820.503.7917,001-430-639-1171x979,,mohi.uddin@example.com,,C,ACT,7953477,2019-07-12 09:00:50.154310,036
00050023,REG,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 952,Lake Crystalbury,Missouri,Lake Crystalbury,430-639-1171,563.320.1632x8708,430-639-1171,,,,F,ACT,9328825,2020-06-09 02:39:51.241598,003
00050024,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,New Jersey,Lake Crystalbury,001-430-639-1171x872,+1-688-595-7986x87277,001-430-639-1171x872,,mohi.uddin@gmail.com,,M,INACT,8355372,2015-03-15 02:24:09.408806,032
00050025,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Louisiana,Garciastad,564-217-0805,001-487-434-7143x45581,564-217-0805,,kazi.masihur@example.com,,F,SUSP,8920687,2022-11-13 18:26:11.556502,034
00050026,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Vermont,Garciastad,564-217-0805,(231)566-5876,564-217-0805,,kazi.masihur@example.com,,F,SUSP,2442357,2010-09-12 01:21:32.255035,007
00050027,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 128,Garciastad,Iowa,Garciastad,+1-564-217-0805x7374,267-806-5627x298,+1-564-217-0805x7374,5969705466,kazi.masihur@example.com,Jean Carrillo,C,SUSP,9446623,2024-12-28 12:45:39.672519,002
00050028,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Louisiana,Garciastad,001-564-217-0805x386,001-564-217-0805x31003,001-564-217-0805x386,+1-701-862-7204x65375,kazi.masihur@example.com,,M,SUSP,5611263,2017-11-28 09:30:24.215944,005
00050029,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Pennsylvania,Garciastad,+1-564-217-0805x7286,3496663193,+1-564-217-0805x7286,674.352.9912,kazi.masihur@example.com,Cynthia Wells,C,INACT,8897513,2008-05-11 07:54:54.041152,020
00050030,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Rhode Island,Teresaburgh,653-876-7242,790-258-6518,653-876-7242,,sk.mahbub@example.com,,F,ACT,8432051,2023-01-28 23:02:08.370201,026
00050031,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,New York,Teresaburgh,001-653-876-7242x397,965-972-6284,001-653-876-7242x397,,sk.mahbub@example.com,,M,ACT,8806099,2023-01-23 17:13:38.465203,008
00050032,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Washington,Teresaburgh,001-653-876-7242x543,001-845-731-4737,001-653-876-7242x543,,sk.mahbub@example.com,,M,ACT,4561589,2014-10-13 12:32:08.681155,032
00050033,COR,SK MAHBUBLLAH,KAISA,,192 Frank Light,Suite 835,Teresaburgh,Washington,Teresaburgh,001-653-876-7242x657,(778)937-7701x43634,001-653-876-7242x657,327-535-4549x48083,,,F,SUSP,4086239,2006-08-24 09:15:08.056626,001
